Generations,1000
Population Size,20
Mutation Rate,0.4
Crossover Rate,0.9
Fitness,Best Fitness: 2326.50
Seed,11

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 3,Stamford Bridge,Slot 2:00-4:00
Liverpool vs Tottenham,Day 6,Goodison Park,Slot 8:00-10:00
New Castle vs Everton,Day 3,Anfield,Slot 8:00-10:00
Liverpool vs Manchester United,Day 40,Emirates Stadium,Slot 5:00-7:00
Tottenham vs Brighton,Day 32,Stamford Bridge,Slot 8:00-10:00
Chelsea vs New Castle,Day 5,Anfield,Slot 5:00-7:00
Arsenal vs Liverpool,Day 9,St. James' Park,Slot 8:00-10:00
Manchester City vs New Castle,Day 11,St. James' Park,Slot 5:00-7:00
Manchester City vs Chelsea,Day 40,Anfield,Slot 2:00-4:00
Manchester City vs Tottenham,Day 1,Goodison Park,Slot 5:00-7:00
Tottenham vs Brentford,Day 40,St. James' Park,Slot 5:00-7:00
Arsenal vs Tottenham,Day 34,Elland Road,Slot 5:00-7:00
Manchester United vs Brentford,Day 38,Wembley,Slot 8:00-10:00
Arsenal vs Chelsea,Day 1,Etihad Stadium,Slot 2:00-4:00
Arsenal vs Brentford,Day 36,Wembley,Slot 2:00-4:00
Arsenal vs Manchester United,Day 5,Etihad Stadium,Slot 2:00-4:00
Chelsea vs Everton,Day 10,St. James' Park,Slot 8:00-10:00
Liverpool vs Chelsea,Day 12,Emirates Stadium,Slot 2:00-4:00
Manchester City vs Brighton,Day 6,Etihad Stadium,Slot 8:00-10:00
Manchester City vs Liverpool,Day 38,Stamford Bridge,Slot 8:00-10:00
Manchester United vs Everton,Day 1,Elland Road,Slot 5:00-7:00
Liverpool vs Everton,Day 36,Emirates Stadium,Slot 2:00-4:00
Manchester United vs Tottenham,Day 3,St. James' Park,Slot 2:00-4:00
Liverpool vs Brighton,Day 4,Old Trafford,Slot 5:00-7:00
Chelsea vs Manchester United,Day 32,Elland Road,Slot 8:00-10:00
Brentford vs Brighton,Day 2,Wembley,Slot 5:00-7:00
Manchester City vs Manchester United,Day 36,Goodison Park,Slot 2:00-4:00
Liverpool vs Brentford,Day 34,Stamford Bridge,Slot 8:00-10:00
Arsenal vs New Castle,Day 40,Villa Park,Slot 5:00-7:00
Manchester United vs New Castle,Day 34,Stamford Bridge,Slot 2:00-4:00
New Castle vs Brentford,Day 9,Stamford Bridge,Slot 5:00-7:00
Manchester United vs Brighton,Day 8,Goodison Park,Slot 8:00-10:00
Chelsea vs Brighton,Day 35,Emirates Stadium,Slot 8:00-10:00
Brentford vs Everton,Day 5,Old Trafford,Slot 8:00-10:00
New Castle vs Tottenham,Day 29,Villa Park,Slot 2:00-4:00
Liverpool vs New Castle,Day 2,Elland Road,Slot 2:00-4:00
New Castle vs Brighton,Day 38,Anfield,Slot 2:00-4:00
Chelsea vs Brentford,Day 7,Villa Park,Slot 8:00-10:00
Manchester City vs Everton,Day 34,Villa Park,Slot 5:00-7:00
Manchester City vs Brentford,Day 32,Old Trafford,Slot 8:00-10:00
Arsenal vs Everton,Day 38,St. James' Park,Slot 8:00-10:00
Arsenal vs Brighton,Day 11,Villa Park,Slot 2:00-4:00
Tottenham vs Everton,Day 8,Stamford Bridge,Slot 8:00-10:00
Brighton vs Everton,Day 40,Anfield,Slot 5:00-7:00
Chelsea vs Tottenham,Day 38,Etihad Stadium,Slot 5:00-7:00
