Generations,500
Population Size,15
Mutation Rate,0.3
Crossover Rate,0.7
Fitness,Best Fitness: 2106.94
Seed,2

Match,Day,Venue,Time Slot
Manchester City vs Manchester United,Day 6,Old Trafford,Slot 2:00-4:00
Liverpool vs Everton,Day 32,Old Trafford,Slot 5:00-7:00
Liverpool vs Chelsea,Day 7,Wembley,Slot 5:00-7:00
Arsenal vs Brentford,Day 40,Emirates Stadium,Slot 5:00-7:00
Tottenham vs Brentford,Day 39,Old Trafford,Slot 8:00-10:00
New Castle vs Everton,Day 40,Etihad Stadium,Slot 2:00-4:00
Manchester United vs Brentford,Day 30,Villa Park,Slot 2:00-4:00
Manchester City vs Liverpool,Day 36,Wembley,Slot 5:00-7:00
New Castle vs Tottenham,Day 37,Stamford Bridge,Slot 8:00-10:00
Manchester City vs Arsenal,Day 3,St. James' Park,Slot 5:00-7:00
Manchester City vs Everton,Day 34,Elland Road,Slot 5:00-7:00
Arsenal vs Manchester United,Day 18,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Everton,Day 25,Anfield,Slot 2:00-4:00
Liverpool vs Brentford,Day 34,Etihad Stadium,Slot 8:00-10:00
Manchester United vs Tottenham,Day 35,Stamford Bridge,Slot 8:00-10:00
Chelsea vs Brentford,Day 1,St. James' Park,Slot 2:00-4:00
Manchester City vs Tottenham,Day 30,Wembley,Slot 8:00-10:00
Arsenal vs Chelsea,Day 30,St. James' Park,Slot 8:00-10:00
Liverpool vs Brighton,Day 3,Villa Park,Slot 5:00-7:00
Brentford vs Brighton,Day 28,Villa Park,Slot 2:00-4:00
Tottenham vs Brighton,Day 15,Goodison Park,Slot 2:00-4:00
Chelsea vs New Castle,Day 5,Goodison Park,Slot 8:00-10:00
Brighton vs Everton,Day 37,Old Trafford,Slot 5:00-7:00
Arsenal vs New Castle,Day 34,St. James' Park,Slot 2:00-4:00
Liverpool vs New Castle,Day 30,Emirates Stadium,Slot 5:00-7:00
Chelsea vs Tottenham,Day 32,Old Trafford,Slot 2:00-4:00
Chelsea vs Manchester United,Day 39,Villa Park,Slot 5:00-7:00
Arsenal vs Liverpool,Day 38,Old Trafford,Slot 2:00-4:00
Liverpool vs Manchester United,Day 1,Stamford Bridge,Slot 8:00-10:00
Arsenal vs Tottenham,Day 8,Etihad Stadium,Slot 2:00-4:00
Arsenal vs Brighton,Day 5,Goodison Park,Slot 2:00-4:00
Manchester City vs Chelsea,Day 28,Elland Road,Slot 5:00-7:00
Brentford vs Everton,Day 4,Elland Road,Slot 5:00-7:00
Liverpool vs Tottenham,Day 5,Anfield,Slot 2:00-4:00
Tottenham vs Everton,Day 2,Stamford Bridge,Slot 2:00-4:00
Manchester United vs New Castle,Day 3,St. James' Park,Slot 2:00-4:00
Manchester United vs Brighton,Day 33,Wembley,Slot 8:00-10:00
Manchester City vs Brighton,Day 39,Elland Road,Slot 8:00-10:00
New Castle vs Brentford,Day 36,Stamford Bridge,Slot 2:00-4:00
Chelsea vs Everton,Day 10,Anfield,Slot 2:00-4:00
Manchester United vs Everton,Day 12,Villa Park,Slot 2:00-4:00
New Castle vs Brighton,Day 8,St. James' Park,Slot 2:00-4:00
Manchester City vs Brentford,Day 9,Wembley,Slot 2:00-4:00
Chelsea vs Brighton,Day 36,Emirates Stadium,Slot 5:00-7:00
Manchester City vs New Castle,Day 1,Elland Road,Slot 5:00-7:00
