Generations,500
Population Size,15
Mutation Rate,0.3
Crossover Rate,0.7
Fitness,Best Fitness: 2098.35
Seed,3

Match,Day,Venue,Time Slot
Manchester United vs Brighton,Day 12,Wembley,Slot 5:00-7:00
Chelsea vs Brentford,Day 9,Anfield,Slot 8:00-10:00
New Castle vs Everton,Day 1,Villa Park,Slot 2:00-4:00
Chelsea vs New Castle,Day 3,Villa Park,Slot 8:00-10:00
Manchester City vs Brighton,Day 10,St. James' Park,Slot 2:00-4:00
Arsenal vs Everton,Day 39,Goodison Park,Slot 5:00-7:00
Chelsea vs Manchester United,Day 28,St. James' Park,Slot 5:00-7:00
Arsenal vs Brentford,Day 40,Stamford Bridge,Slot 5:00-7:00
Liverpool vs Tottenham,Day 26,Old Trafford,Slot 5:00-7:00
Manchester City vs New Castle,Day 39,Emirates Stadium,Slot 5:00-7:00
Brentford vs Brighton,Day 3,St. James' Park,Slot 5:00-7:00
Manchester City vs Liverpool,Day 33,St. James' Park,Slot 5:00-7:00
Manchester City vs Chelsea,Day 4,St. James' Park,Slot 8:00-10:00
Manchester United vs Brentford,Day 33,Etihad Stadium,Slot 8:00-10:00
Arsenal vs Chelsea,Day 31,St. James' Park,Slot 8:00-10:00
Manchester City vs Arsenal,Day 1,Elland Road,Slot 5:00-7:00
Arsenal vs Brighton,Day 37,Elland Road,Slot 5:00-7:00
Liverpool vs Manchester United,Day 40,Elland Road,Slot 2:00-4:00
Tottenham vs Brentford,Day 1,Etihad Stadium,Slot 5:00-7:00
Arsenal vs Manchester United,Day 10,Old Trafford,Slot 8:00-10:00
Tottenham vs Everton,Day 11,Anfield,Slot 5:00-7:00
Arsenal vs New Castle,Day 35,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Everton,Day 13,Emirates Stadium,Slot 8:00-10:00
Liverpool vs New Castle,Day 8,Emirates Stadium,Slot 5:00-7:00
New Castle vs Tottenham,Day 5,St. James' Park,Slot 5:00-7:00
Manchester United vs Everton,Day 6,Wembley,Slot 8:00-10:00
New Castle vs Brentford,Day 20,Anfield,Slot 5:00-7:00
New Castle vs Brighton,Day 32,Anfield,Slot 2:00-4:00
Chelsea vs Tottenham,Day 40,Villa Park,Slot 8:00-10:00
Tottenham vs Brighton,Day 39,Villa Park,Slot 5:00-7:00
Liverpool vs Everton,Day 30,Elland Road,Slot 8:00-10:00
Arsenal vs Tottenham,Day 33,Stamford Bridge,Slot 8:00-10:00
Brighton vs Everton,Day 4,Etihad Stadium,Slot 5:00-7:00
Manchester United vs New Castle,Day 38,Etihad Stadium,Slot 2:00-4:00
Manchester United vs Tottenham,Day 3,Wembley,Slot 8:00-10:00
Chelsea vs Everton,Day 34,Anfield,Slot 8:00-10:00
Liverpool vs Brighton,Day 35,Goodison Park,Slot 2:00-4:00
Manchester City vs Manchester United,Day 35,St. James' Park,Slot 5:00-7:00
Arsenal vs Liverpool,Day 3,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Tottenham,Day 8,St. James' Park,Slot 2:00-4:00
Chelsea vs Brighton,Day 1,St. James' Park,Slot 8:00-10:00
Brentford vs Everton,Day 37,St. James' Park,Slot 8:00-10:00
Manchester City vs Brentford,Day 24,Emirates Stadium,Slot 5:00-7:00
Liverpool vs Brentford,Day 6,Stamford Bridge,Slot 8:00-10:00
Liverpool vs Chelsea,Day 37,Wembley,Slot 2:00-4:00
