Generations,750
Population Size,15
Mutation Rate,0.4
Crossover Rate,0.7
Fitness,Best Fitness: 2156.56
Seed,7

Match,Day,Venue,Time Slot
Arsenal vs Brighton,Day 38,Goodison Park,Slot 2:00-4:00
Manchester City vs Manchester United,Day 7,Stamford Bridge,Slot 2:00-4:00
Arsenal vs Chelsea,Day 1,St. James' Park,Slot 8:00-10:00
Chelsea vs Brentford,Day 35,St. James' Park,Slot 8:00-10:00
Manchester City vs New Castle,Day 5,Emirates Stadium,Slot 2:00-4:00
Chelsea vs Brighton,Day 6,Etihad Stadium,Slot 5:00-7:00
Arsenal vs Tottenham,Day 34,Wembley,Slot 5:00-7:00
Manchester United vs Tottenham,Day 26,Goodison Park,Slot 8:00-10:00
Arsenal vs New Castle,Day 2,Etihad Stadium,Slot 5:00-7:00
Tottenham vs Brighton,Day 4,Anfield,Slot 5:00-7:00
Manchester United vs Brighton,Day 37,Old Trafford,Slot 2:00-4:00
Chelsea vs Manchester United,Day 12,Etihad Stadium,Slot 8:00-10:00
New Castle vs Everton,Day 7,St. James' Park,Slot 8:00-10:00
Chelsea vs Tottenham,Day 9,Anfield,Slot 2:00-4:00
Brentford vs Everton,Day 5,Stamford Bridge,Slot 5:00-7:00
Arsenal vs Brentford,Day 40,Etihad Stadium,Slot 8:00-10:00
Manchester United vs New Castle,Day 33,Etihad Stadium,Slot 2:00-4:00
Manchester City vs Tottenham,Day 32,Elland Road,Slot 8:00-10:00
New Castle vs Tottenham,Day 39,Stamford Bridge,Slot 2:00-4:00
Arsenal vs Manchester United,Day 31,Villa Park,Slot 2:00-4:00
Chelsea vs Everton,Day 3,Stamford Bridge,Slot 5:00-7:00
Tottenham vs Brentford,Day 1,Anfield,Slot 2:00-4:00
New Castle vs Brighton,Day 40,St. James' Park,Slot 8:00-10:00
Arsenal vs Liverpool,Day 23,Goodison Park,Slot 8:00-10:00
Manchester City vs Liverpool,Day 36,Old Trafford,Slot 8:00-10:00
Manchester City vs Brentford,Day 3,Elland Road,Slot 2:00-4:00
Brighton vs Everton,Day 34,Stamford Bridge,Slot 8:00-10:00
Liverpool vs Everton,Day 32,Emirates Stadium,Slot 8:00-10:00
Liverpool vs New Castle,Day 12,Emirates Stadium,Slot 8:00-10:00
Liverpool vs Tottenham,Day 7,Etihad Stadium,Slot 2:00-4:00
Manchester City vs Everton,Day 38,St. James' Park,Slot 5:00-7:00
Chelsea vs New Castle,Day 7,Old Trafford,Slot 5:00-7:00
Liverpool vs Brentford,Day 34,Goodison Park,Slot 5:00-7:00
Brentford vs Brighton,Day 10,Elland Road,Slot 5:00-7:00
Manchester United vs Brentford,Day 39,Stamford Bridge,Slot 8:00-10:00
Manchester City vs Brighton,Day 1,Emirates Stadium,Slot 8:00-10:00
Liverpool vs Chelsea,Day 38,St. James' Park,Slot 2:00-4:00
New Castle vs Brentford,Day 37,Villa Park,Slot 8:00-10:00
Manchester United vs Everton,Day 1,Elland Road,Slot 2:00-4:00
Liverpool vs Manchester United,Day 4,Old Trafford,Slot 8:00-10:00
Liverpool vs Brighton,Day 2,Stamford Bridge,Slot 2:00-4:00
Tottenham vs Everton,Day 36,Goodison Park,Slot 5:00-7:00
Arsenal vs Everton,Day 13,Goodison Park,Slot 5:00-7:00
Manchester City vs Arsenal,Day 9,Etihad Stadium,Slot 8:00-10:00
Manchester City vs Chelsea,Day 40,Anfield,Slot 2:00-4:00
