Generations,750
Population Size,15
Mutation Rate,0.4
Crossover Rate,0.7
Fitness,Best Fitness: 2151.42
Seed,10

Match,Day,Venue,Time Slot
Liverpool vs Chelsea,Day 8,Elland Road,Slot 8:00-10:00
Manchester City vs Arsenal,Day 31,Goodison Park,Slot 2:00-4:00
Tottenham vs Everton,Day 38,St. James' Park,Slot 8:00-10:00
Manchester City vs Everton,Day 11,Villa Park,Slot 5:00-7:00
Chelsea vs New Castle,Day 30,St. James' Park,Slot 2:00-4:00
Liverpool vs Manchester United,Day 38,Etihad Stadium,Slot 8:00-10:00
Manchester United vs New Castle,Day 40,Stamford Bridge,Slot 2:00-4:00
Manchester United vs Everton,Day 34,St. James' Park,Slot 5:00-7:00
New Castle vs Brighton,Day 6,Elland Road,Slot 2:00-4:00
Arsenal vs Everton,Day 7,Goodison Park,Slot 2:00-4:00
Manchester City vs New Castle,Day 38,Anfield,Slot 2:00-4:00
Chelsea vs Brighton,Day 34,Etihad Stadium,Slot 2:00-4:00
Liverpool vs Tottenham,Day 32,Emirates Stadium,Slot 2:00-4:00
Manchester City vs Manchester United,Day 36,Villa Park,Slot 5:00-7:00
Chelsea vs Tottenham,Day 10,Anfield,Slot 2:00-4:00
Manchester City vs Chelsea,Day 40,Old Trafford,Slot 5:00-7:00
Liverpool vs New Castle,Day 3,Villa Park,Slot 5:00-7:00
Tottenham vs Brighton,Day 1,Goodison Park,Slot 8:00-10:00
Brighton vs Everton,Day 36,Stamford Bridge,Slot 8:00-10:00
Arsenal vs Brighton,Day 38,St. James' Park,Slot 5:00-7:00
New Castle vs Brentford,Day 33,Villa Park,Slot 5:00-7:00
Chelsea vs Brentford,Day 24,Anfield,Slot 8:00-10:00
Chelsea vs Everton,Day 3,Anfield,Slot 2:00-4:00
Arsenal vs Tottenham,Day 40,Stamford Bridge,Slot 8:00-10:00
Manchester United vs Tottenham,Day 13,Elland Road,Slot 8:00-10:00
Manchester United vs Brentford,Day 31,St. James' Park,Slot 8:00-10:00
New Castle vs Tottenham,Day 36,Wembley,Slot 8:00-10:00
Manchester City vs Brighton,Day 8,Anfield,Slot 5:00-7:00
Brentford vs Brighton,Day 40,St. James' Park,Slot 5:00-7:00
Arsenal vs Chelsea,Day 36,Goodison Park,Slot 5:00-7:00
Tottenham vs Brentford,Day 27,Elland Road,Slot 2:00-4:00
Arsenal vs New Castle,Day 14,Emirates Stadium,Slot 2:00-4:00
Liverpool vs Brighton,Day 4,Emirates Stadium,Slot 2:00-4:00
Arsenal vs Manchester United,Day 4,Stamford Bridge,Slot 5:00-7:00
Liverpool vs Brentford,Day 6,Villa Park,Slot 2:00-4:00
Chelsea vs Manchester United,Day 1,Elland Road,Slot 5:00-7:00
Liverpool vs Everton,Day 39,Etihad Stadium,Slot 8:00-10:00
Brentford vs Everton,Day 1,Wembley,Slot 8:00-10:00
Arsenal vs Liverpool,Day 34,Wembley,Slot 8:00-10:00
Arsenal vs Brentford,Day 10,Wembley,Slot 2:00-4:00
Manchester United vs Brighton,Day 11,Villa Park,Slot 2:00-4:00
Manchester City vs Tottenham,Day 6,Old Trafford,Slot 2:00-4:00
New Castle vs Everton,Day 16,Wembley,Slot 5:00-7:00
Manchester City vs Brentford,Day 3,Anfield,Slot 8:00-10:00
Manchester City vs Liverpool,Day 1,Old Trafford,Slot 8:00-10:00
