Generations,500
Population Size,15
Mutation Rate,0.3
Crossover Rate,0.7
Fitness,Best Fitness: 2056.14
Seed,4

Match,Day,Venue,Time Slot
Manchester City vs Everton,Day 40,Goodison Park,Slot 2:00-4:00
Liverpool vs New Castle,Day 8,St. James' Park,Slot 2:00-4:00
Liverpool vs Chelsea,Day 16,Elland Road,Slot 5:00-7:00
Arsenal vs Everton,Day 38,Villa Park,Slot 5:00-7:00
Tottenham vs Brighton,Day 8,Old Trafford,Slot 5:00-7:00
New Castle vs Brighton,Day 40,Elland Road,Slot 8:00-10:00
Liverpool vs Brentford,Day 1,Wembley,Slot 5:00-7:00
Manchester City vs New Castle,Day 12,Goodison Park,Slot 2:00-4:00
Arsenal vs Chelsea,Day 6,Etihad Stadium,Slot 8:00-10:00
Manchester City vs Brentford,Day 7,Wembley,Slot 2:00-4:00
Brentford vs Everton,Day 3,Emirates Stadium,Slot 2:00-4:00
Manchester City vs Chelsea,Day 30,Elland Road,Slot 2:00-4:00
Chelsea vs Brighton,Day 1,Goodison Park,Slot 8:00-10:00
Arsenal vs Brentford,Day 40,Old Trafford,Slot 8:00-10:00
Arsenal vs Manchester United,Day 12,Anfield,Slot 2:00-4:00
Liverpool vs Brighton,Day 39,Villa Park,Slot 8:00-10:00
Manchester City vs Brighton,Day 28,Elland Road,Slot 8:00-10:00
Tottenham vs Brentford,Day 32,Villa Park,Slot 8:00-10:00
Chelsea vs Brentford,Day 12,Emirates Stadium,Slot 8:00-10:00
Manchester United vs New Castle,Day 20,Stamford Bridge,Slot 8:00-10:00
Liverpool vs Manchester United,Day 31,Goodison Park,Slot 2:00-4:00
Arsenal vs New Castle,Day 35,Villa Park,Slot 8:00-10:00
Brighton vs Everton,Day 35,Wembley,Slot 8:00-10:00
Liverpool vs Tottenham,Day 8,Elland Road,Slot 2:00-4:00
Manchester United vs Everton,Day 40,Elland Road,Slot 2:00-4:00
New Castle vs Tottenham,Day 28,Wembley,Slot 2:00-4:00
Arsenal vs Liverpool,Day 5,Goodison Park,Slot 5:00-7:00
Chelsea vs Manchester United,Day 34,Wembley,Slot 5:00-7:00
Chelsea vs New Castle,Day 37,Old Trafford,Slot 2:00-4:00
Manchester City vs Arsenal,Day 37,Stamford Bridge,Slot 8:00-10:00
Manchester United vs Tottenham,Day 6,Goodison Park,Slot 2:00-4:00
Liverpool vs Everton,Day 29,Anfield,Slot 5:00-7:00
Chelsea vs Everton,Day 8,Villa Park,Slot 2:00-4:00
New Castle vs Brentford,Day 15,Anfield,Slot 2:00-4:00
Manchester City vs Tottenham,Day 10,Elland Road,Slot 5:00-7:00
Arsenal vs Brighton,Day 3,St. James' Park,Slot 2:00-4:00
Brentford vs Brighton,Day 38,Stamford Bridge,Slot 5:00-7:00
Manchester United vs Brighton,Day 4,Old Trafford,Slot 2:00-4:00
New Castle vs Everton,Day 2,St. James' Park,Slot 2:00-4:00
Chelsea vs Tottenham,Day 40,St. James' Park,Slot 2:00-4:00
Tottenham vs Everton,Day 2,Wembley,Slot 5:00-7:00
Manchester City vs Manchester United,Day 1,Goodison Park,Slot 5:00-7:00
Manchester City vs Liverpool,Day 3,Wembley,Slot 2:00-4:00
Manchester United vs Brentford,Day 36,Villa Park,Slot 2:00-4:00
Arsenal vs Tottenham,Day 1,St. James' Park,Slot 5:00-7:00
