Generations,50
Population Size,20
Mutation Rate,0.1
Crossover Rate,0.7
Fitness,Best Fitness: 800.00
Seed,5

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 38,Villa Park,Slot 5:00-7:00
Manchester City vs Liverpool,Day 28,Goodison Park,Slot 8:00-10:00
Manchester City vs Chelsea,Day 19,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Manchester United,Day 15,Villa Park,Slot 2:00-4:00
Manchester City vs New Castle,Day 33,St. James' Park,Slot 8:00-10:00
Manchester City vs Tottenham,Day 5,Wembley,Slot 2:00-4:00
Manchester City vs Brentford,Day 13,Anfield,Slot 5:00-7:00
Manchester City vs Brighton,Day 23,Anfield,Slot 2:00-4:00
Manchester City vs Everton,Day 26,Wembley,Slot 8:00-10:00
Arsenal vs Liverpool,Day 16,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Chelsea,Day 6,St. James' Park,Slot 8:00-10:00
Arsenal vs Manchester United,Day 21,Elland Road,Slot 5:00-7:00
Arsenal vs New Castle,Day 3,Wembley,Slot 5:00-7:00
Arsenal vs Tottenham,Day 14,Goodison Park,Slot 8:00-10:00
Arsenal vs Brentford,Day 26,Elland Road,Slot 8:00-10:00
Arsenal vs Brighton,Day 5,Etihad Stadium,Slot 2:00-4:00
Arsenal vs Everton,Day 1,Etihad Stadium,Slot 5:00-7:00
Liverpool vs Chelsea,Day 26,Stamford Bridge,Slot 2:00-4:00
Liverpool vs Manchester United,Day 19,Old Trafford,Slot 8:00-10:00
Liverpool vs New Castle,Day 38,Wembley,Slot 8:00-10:00
Liverpool vs Tottenham,Day 31,Emirates Stadium,Slot 8:00-10:00
Liverpool vs Brentford,Day 9,Emirates Stadium,Slot 2:00-4:00
Liverpool vs Brighton,Day 13,Old Trafford,Slot 8:00-10:00
Liverpool vs Everton,Day 22,Villa Park,Slot 8:00-10:00
Chelsea vs Manchester United,Day 2,Emirates Stadium,Slot 2:00-4:00
Chelsea vs New Castle,Day 24,Goodison Park,Slot 2:00-4:00
Chelsea vs Tottenham,Day 22,Anfield,Slot 5:00-7:00
Chelsea vs Brentford,Day 32,Wembley,Slot 5:00-7:00
Chelsea vs Brighton,Day 16,Emirates Stadium,Slot 2:00-4:00
Chelsea vs Everton,Day 29,Anfield,Slot 5:00-7:00
Manchester United vs New Castle,Day 1,Stamford Bridge,Slot 5:00-7:00
Manchester United vs Tottenham,Day 8,Stamford Bridge,Slot 8:00-10:00
Manchester United vs Brentford,Day 25,St. James' Park,Slot 5:00-7:00
Manchester United vs Brighton,Day 6,Old Trafford,Slot 5:00-7:00
Manchester United vs Everton,Day 30,Wembley,Slot 2:00-4:00
New Castle vs Tottenham,Day 7,Stamford Bridge,Slot 8:00-10:00
New Castle vs Brentford,Day 40,Wembley,Slot 2:00-4:00
New Castle vs Brighton,Day 30,Etihad Stadium,Slot 5:00-7:00
New Castle vs Everton,Day 27,Elland Road,Slot 8:00-10:00
Tottenham vs Brentford,Day 29,St. James' Park,Slot 5:00-7:00
Tottenham vs Brighton,Day 21,Emirates Stadium,Slot 5:00-7:00
Tottenham vs Everton,Day 10,Anfield,Slot 5:00-7:00
Brentford vs Brighton,Day 27,St. James' Park,Slot 5:00-7:00
Brentford vs Everton,Day 11,Stamford Bridge,Slot 2:00-4:00
Brighton vs Everton,Day 8,Elland Road,Slot 8:00-10:00
