Generations,25
Population Size,5
Mutation Rate,0.05
Crossover Rate,0.4
Fitness,Best Fitness: 700.00
Seed,30

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 40,Anfield,Slot 2:00-4:00
Manchester City vs Liverpool,Day 4,Goodison Park,Slot 2:00-4:00
Manchester City vs Chelsea,Day 38,Wembley,Slot 5:00-7:00
Manchester City vs Manchester United,Day 32,St. James' Park,Slot 2:00-4:00
Manchester City vs New Castle,Day 12,Elland Road,Slot 2:00-4:00
Manchester City vs Tottenham,Day 14,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Brentford,Day 6,Wembley,Slot 2:00-4:00
Manchester City vs Brighton,Day 37,Stamford Bridge,Slot 5:00-7:00
Manchester City vs Everton,Day 8,Elland Road,Slot 5:00-7:00
Arsenal vs Liverpool,Day 24,Elland Road,Slot 2:00-4:00
Arsenal vs Chelsea,Day 36,Villa Park,Slot 8:00-10:00
Arsenal vs Manchester United,Day 27,Stamford Bridge,Slot 5:00-7:00
Arsenal vs New Castle,Day 37,St. James' Park,Slot 2:00-4:00
Arsenal vs Tottenham,Day 30,Goodison Park,Slot 8:00-10:00
Arsenal vs Brentford,Day 5,Goodison Park,Slot 2:00-4:00
Arsenal vs Brighton,Day 12,Wembley,Slot 5:00-7:00
Arsenal vs Everton,Day 18,Etihad Stadium,Slot 5:00-7:00
Liverpool vs Chelsea,Day 27,Villa Park,Slot 8:00-10:00
Liverpool vs Manchester United,Day 35,Stamford Bridge,Slot 5:00-7:00
Liverpool vs New Castle,Day 25,Elland Road,Slot 5:00-7:00
Liverpool vs Tottenham,Day 5,St. James' Park,Slot 8:00-10:00
Liverpool vs Brentford,Day 28,Goodison Park,Slot 8:00-10:00
Liverpool vs Brighton,Day 29,Old Trafford,Slot 5:00-7:00
Liverpool vs Everton,Day 31,Wembley,Slot 2:00-4:00
Chelsea vs Manchester United,Day 25,Goodison Park,Slot 5:00-7:00
Chelsea vs New Castle,Day 2,St. James' Park,Slot 2:00-4:00
Chelsea vs Tottenham,Day 24,Etihad Stadium,Slot 8:00-10:00
Chelsea vs Brentford,Day 32,Wembley,Slot 2:00-4:00
Chelsea vs Brighton,Day 20,Villa Park,Slot 2:00-4:00
Chelsea vs Everton,Day 29,Elland Road,Slot 5:00-7:00
Manchester United vs New Castle,Day 38,Villa Park,Slot 8:00-10:00
Manchester United vs Tottenham,Day 18,Villa Park,Slot 5:00-7:00
Manchester United vs Brentford,Day 16,Villa Park,Slot 2:00-4:00
Manchester United vs Brighton,Day 31,Anfield,Slot 8:00-10:00
Manchester United vs Everton,Day 40,Old Trafford,Slot 5:00-7:00
New Castle vs Tottenham,Day 20,St. James' Park,Slot 8:00-10:00
New Castle vs Brentford,Day 29,Elland Road,Slot 2:00-4:00
New Castle vs Brighton,Day 3,Etihad Stadium,Slot 5:00-7:00
New Castle vs Everton,Day 33,Villa Park,Slot 5:00-7:00
Tottenham vs Brentford,Day 39,Old Trafford,Slot 5:00-7:00
Tottenham vs Brighton,Day 9,Emirates Stadium,Slot 5:00-7:00
Tottenham vs Everton,Day 21,St. James' Park,Slot 2:00-4:00
Brentford vs Brighton,Day 15,Anfield,Slot 8:00-10:00
Brentford vs Everton,Day 1,Emirates Stadium,Slot 8:00-10:00
Brighton vs Everton,Day 38,Stamford Bridge,Slot 2:00-4:00
