Generations,100
Population Size,20
Mutation Rate,0.1
Crossover Rate,0.7
Fitness,Best Fitness: 760.00
Seed,2

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 21,Etihad Stadium,Slot 2:00-4:00
Manchester City vs Liverpool,Day 12,St. James' Park,Slot 2:00-4:00
Manchester City vs Chelsea,Day 16,Wembley,Slot 5:00-7:00
Manchester City vs Manchester United,Day 14,Etihad Stadium,Slot 8:00-10:00
Manchester City vs New Castle,Day 3,Goodison Park,Slot 5:00-7:00
Manchester City vs Tottenham,Day 6,Old Trafford,Slot 8:00-10:00
Manchester City vs Brentford,Day 25,Villa Park,Slot 8:00-10:00
Manchester City vs Brighton,Day 31,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Everton,Day 8,Villa Park,Slot 5:00-7:00
Arsenal vs Liverpool,Day 37,Emirates Stadium,Slot 2:00-4:00
Arsenal vs Chelsea,Day 22,Old Trafford,Slot 2:00-4:00
Arsenal vs Manchester United,Day 17,Anfield,Slot 8:00-10:00
Arsenal vs New Castle,Day 27,Elland Road,Slot 5:00-7:00
Arsenal vs Tottenham,Day 3,Stamford Bridge,Slot 8:00-10:00
Arsenal vs Brentford,Day 8,Anfield,Slot 5:00-7:00
Arsenal vs Brighton,Day 15,Villa Park,Slot 5:00-7:00
Arsenal vs Everton,Day 11,St. James' Park,Slot 2:00-4:00
Liverpool vs Chelsea,Day 4,Emirates Stadium,Slot 5:00-7:00
Liverpool vs Manchester United,Day 28,Emirates Stadium,Slot 5:00-7:00
Liverpool vs New Castle,Day 18,Goodison Park,Slot 2:00-4:00
Liverpool vs Tottenham,Day 36,Emirates Stadium,Slot 5:00-7:00
Liverpool vs Brentford,Day 3,Etihad Stadium,Slot 8:00-10:00
Liverpool vs Brighton,Day 9,Etihad Stadium,Slot 2:00-4:00
Manchester United vs Brighton,Day 1,Emirates Stadium,Slot 8:00-10:00
Chelsea vs Manchester United,Day 23,Villa Park,Slot 2:00-4:00
Chelsea vs New Castle,Day 5,Anfield,Slot 5:00-7:00
Chelsea vs Tottenham,Day 29,Etihad Stadium,Slot 8:00-10:00
Chelsea vs Brentford,Day 30,Etihad Stadium,Slot 8:00-10:00
Chelsea vs Brighton,Day 21,Elland Road,Slot 5:00-7:00
Chelsea vs Everton,Day 18,Etihad Stadium,Slot 5:00-7:00
Manchester United vs New Castle,Day 15,Stamford Bridge,Slot 8:00-10:00
Manchester United vs Tottenham,Day 9,St. James' Park,Slot 2:00-4:00
Manchester United vs Brentford,Day 27,Wembley,Slot 2:00-4:00
Liverpool vs Everton,Day 1,St. James' Park,Slot 8:00-10:00
Manchester United vs Everton,Day 5,Anfield,Slot 8:00-10:00
New Castle vs Tottenham,Day 25,Goodison Park,Slot 2:00-4:00
New Castle vs Brentford,Day 20,Villa Park,Slot 5:00-7:00
New Castle vs Brighton,Day 40,Elland Road,Slot 5:00-7:00
New Castle vs Everton,Day 7,Goodison Park,Slot 2:00-4:00
Tottenham vs Brentford,Day 32,St. James' Park,Slot 5:00-7:00
Tottenham vs Brighton,Day 33,Villa Park,Slot 2:00-4:00
Tottenham vs Everton,Day 20,Emirates Stadium,Slot 2:00-4:00
Brentford vs Brighton,Day 12,St. James' Park,Slot 5:00-7:00
Brentford vs Everton,Day 13,Old Trafford,Slot 5:00-7:00
Brighton vs Everton,Day 26,Etihad Stadium,Slot 2:00-4:00
