Generations,50
Population Size,20
Mutation Rate,0.2
Crossover Rate,0.7
Fitness,Best Fitness: 740.00
Seed,6

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 32,Wembley,Slot 5:00-7:00
Arsenal vs Manchester United,Day 39,Anfield,Slot 5:00-7:00
Manchester City vs Chelsea,Day 17,Elland Road,Slot 2:00-4:00
Manchester City vs Manchester United,Day 30,Wembley,Slot 2:00-4:00
Manchester City vs New Castle,Day 26,St. James' Park,Slot 8:00-10:00
Manchester City vs Tottenham,Day 19,Elland Road,Slot 2:00-4:00
Manchester City vs Brentford,Day 34,Anfield,Slot 5:00-7:00
Manchester City vs Brighton,Day 12,Emirates Stadium,Slot 2:00-4:00
Manchester City vs Everton,Day 15,Elland Road,Slot 8:00-10:00
Arsenal vs Liverpool,Day 16,Etihad Stadium,Slot 8:00-10:00
Arsenal vs Chelsea,Day 19,Anfield,Slot 2:00-4:00
Manchester City vs Liverpool,Day 9,Goodison Park,Slot 2:00-4:00
Arsenal vs New Castle,Day 8,Emirates Stadium,Slot 2:00-4:00
Arsenal vs Tottenham,Day 20,Etihad Stadium,Slot 8:00-10:00
Arsenal vs Brentford,Day 11,Stamford Bridge,Slot 8:00-10:00
Arsenal vs Brighton,Day 23,Elland Road,Slot 8:00-10:00
Arsenal vs Everton,Day 29,Villa Park,Slot 8:00-10:00
Liverpool vs Chelsea,Day 7,Anfield,Slot 2:00-4:00
Liverpool vs Manchester United,Day 19,Villa Park,Slot 2:00-4:00
Liverpool vs New Castle,Day 28,Anfield,Slot 5:00-7:00
Liverpool vs Tottenham,Day 31,Elland Road,Slot 2:00-4:00
Liverpool vs Brentford,Day 35,Elland Road,Slot 8:00-10:00
Liverpool vs Brighton,Day 8,Goodison Park,Slot 5:00-7:00
Liverpool vs Everton,Day 21,Stamford Bridge,Slot 5:00-7:00
Chelsea vs Manchester United,Day 37,Old Trafford,Slot 8:00-10:00
Chelsea vs New Castle,Day 16,Anfield,Slot 2:00-4:00
Chelsea vs Tottenham,Day 26,Goodison Park,Slot 8:00-10:00
Chelsea vs Brentford,Day 1,Stamford Bridge,Slot 2:00-4:00
Chelsea vs Brighton,Day 11,Goodison Park,Slot 2:00-4:00
Chelsea vs Everton,Day 5,Villa Park,Slot 2:00-4:00
Manchester United vs New Castle,Day 3,Wembley,Slot 8:00-10:00
Manchester United vs Tottenham,Day 32,Etihad Stadium,Slot 2:00-4:00
Manchester United vs Brentford,Day 6,Etihad Stadium,Slot 5:00-7:00
Manchester United vs Brighton,Day 2,Elland Road,Slot 5:00-7:00
Manchester United vs Everton,Day 26,Elland Road,Slot 5:00-7:00
New Castle vs Tottenham,Day 22,Old Trafford,Slot 2:00-4:00
New Castle vs Brentford,Day 17,Etihad Stadium,Slot 2:00-4:00
New Castle vs Brighton,Day 30,Goodison Park,Slot 8:00-10:00
New Castle vs Everton,Day 24,Elland Road,Slot 5:00-7:00
Tottenham vs Brentford,Day 27,Wembley,Slot 5:00-7:00
Tottenham vs Brighton,Day 24,St. James' Park,Slot 8:00-10:00
Tottenham vs Everton,Day 3,Goodison Park,Slot 8:00-10:00
Brentford vs Brighton,Day 40,Etihad Stadium,Slot 5:00-7:00
Brentford vs Everton,Day 22,Elland Road,Slot 5:00-7:00
Brighton vs Everton,Day 35,Goodison Park,Slot 8:00-10:00
