Generations,50
Population Size,10
Mutation Rate,0.05
Crossover Rate,0.4
Fitness,Best Fitness: 720.00
Seed,19

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 26,Anfield,Slot 5:00-7:00
Manchester City vs Liverpool,Day 3,Goodison Park,Slot 8:00-10:00
Manchester City vs Chelsea,Day 28,Etihad Stadium,Slot 5:00-7:00
Manchester City vs Manchester United,Day 20,Elland Road,Slot 8:00-10:00
Manchester City vs New Castle,Day 9,Goodison Park,Slot 8:00-10:00
Manchester City vs Tottenham,Day 15,Wembley,Slot 5:00-7:00
Manchester City vs Brentford,Day 11,Stamford Bridge,Slot 2:00-4:00
Manchester City vs Brighton,Day 36,Etihad Stadium,Slot 2:00-4:00
Manchester City vs Everton,Day 39,Stamford Bridge,Slot 5:00-7:00
Arsenal vs Liverpool,Day 21,Villa Park,Slot 8:00-10:00
Arsenal vs Chelsea,Day 36,Villa Park,Slot 2:00-4:00
Arsenal vs Manchester United,Day 23,Etihad Stadium,Slot 5:00-7:00
Arsenal vs New Castle,Day 19,Elland Road,Slot 5:00-7:00
Arsenal vs Tottenham,Day 35,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Brentford,Day 4,Elland Road,Slot 5:00-7:00
Arsenal vs Brighton,Day 27,Emirates Stadium,Slot 5:00-7:00
Arsenal vs Everton,Day 20,Stamford Bridge,Slot 5:00-7:00
Liverpool vs Chelsea,Day 13,Goodison Park,Slot 2:00-4:00
Liverpool vs Manchester United,Day 28,Emirates Stadium,Slot 5:00-7:00
Liverpool vs New Castle,Day 36,Old Trafford,Slot 5:00-7:00
Liverpool vs Tottenham,Day 9,Emirates Stadium,Slot 5:00-7:00
Liverpool vs Brentford,Day 26,Stamford Bridge,Slot 2:00-4:00
Liverpool vs Brighton,Day 10,Emirates Stadium,Slot 8:00-10:00
Liverpool vs Everton,Day 6,Emirates Stadium,Slot 5:00-7:00
Chelsea vs Manchester United,Day 11,Elland Road,Slot 2:00-4:00
Chelsea vs New Castle,Day 33,Old Trafford,Slot 5:00-7:00
Chelsea vs Tottenham,Day 23,Anfield,Slot 8:00-10:00
Chelsea vs Brentford,Day 27,Emirates Stadium,Slot 8:00-10:00
Chelsea vs Brighton,Day 20,Emirates Stadium,Slot 8:00-10:00
Chelsea vs Everton,Day 1,Emirates Stadium,Slot 5:00-7:00
Manchester United vs New Castle,Day 35,Old Trafford,Slot 2:00-4:00
Manchester United vs Tottenham,Day 7,St. James' Park,Slot 8:00-10:00
Manchester United vs Brentford,Day 18,Elland Road,Slot 5:00-7:00
Manchester United vs Brighton,Day 16,Goodison Park,Slot 5:00-7:00
Manchester United vs Everton,Day 30,Etihad Stadium,Slot 5:00-7:00
New Castle vs Tottenham,Day 39,Goodison Park,Slot 8:00-10:00
New Castle vs Brentford,Day 24,Old Trafford,Slot 2:00-4:00
New Castle vs Brighton,Day 15,Old Trafford,Slot 2:00-4:00
New Castle vs Everton,Day 26,St. James' Park,Slot 2:00-4:00
Tottenham vs Brentford,Day 10,Wembley,Slot 5:00-7:00
Tottenham vs Brighton,Day 12,Elland Road,Slot 2:00-4:00
Tottenham vs Everton,Day 2,Anfield,Slot 5:00-7:00
Brentford vs Brighton,Day 31,Anfield,Slot 2:00-4:00
Brentford vs Everton,Day 36,Anfield,Slot 5:00-7:00
Brighton vs Everton,Day 11,Villa Park,Slot 5:00-7:00
