Generations,100
Population Size,10
Mutation Rate,0.2
Crossover Rate,0.7
Fitness,Best Fitness: 720.00
Seed,3

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 7,Goodison Park,Slot 2:00-4:00
Manchester City vs Liverpool,Day 25,St. James' Park,Slot 2:00-4:00
Manchester City vs Chelsea,Day 27,Old Trafford,Slot 2:00-4:00
Manchester City vs Manchester United,Day 11,Anfield,Slot 2:00-4:00
Manchester City vs New Castle,Day 9,Etihad Stadium,Slot 8:00-10:00
Manchester City vs Tottenham,Day 37,Villa Park,Slot 2:00-4:00
Manchester City vs Brentford,Day 23,Goodison Park,Slot 5:00-7:00
Manchester City vs Brighton,Day 29,Anfield,Slot 8:00-10:00
Manchester City vs Everton,Day 21,Etihad Stadium,Slot 2:00-4:00
Arsenal vs Liverpool,Day 32,Goodison Park,Slot 2:00-4:00
Arsenal vs Chelsea,Day 10,Etihad Stadium,Slot 5:00-7:00
Arsenal vs Manchester United,Day 40,St. James' Park,Slot 5:00-7:00
Arsenal vs New Castle,Day 8,Anfield,Slot 2:00-4:00
Arsenal vs Tottenham,Day 26,St. James' Park,Slot 5:00-7:00
Arsenal vs Brentford,Day 28,St. James' Park,Slot 5:00-7:00
Arsenal vs Brighton,Day 34,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Everton,Day 24,Emirates Stadium,Slot 2:00-4:00
Liverpool vs Chelsea,Day 11,Wembley,Slot 5:00-7:00
Liverpool vs Manchester United,Day 30,Goodison Park,Slot 8:00-10:00
Liverpool vs New Castle,Day 4,Wembley,Slot 2:00-4:00
Liverpool vs Tottenham,Day 18,Wembley,Slot 2:00-4:00
Liverpool vs Brentford,Day 34,St. James' Park,Slot 2:00-4:00
Liverpool vs Brighton,Day 16,Stamford Bridge,Slot 2:00-4:00
Liverpool vs Everton,Day 6,Stamford Bridge,Slot 2:00-4:00
Chelsea vs Manchester United,Day 3,Wembley,Slot 8:00-10:00
Chelsea vs New Castle,Day 20,Wembley,Slot 2:00-4:00
Chelsea vs Tottenham,Day 13,Old Trafford,Slot 5:00-7:00
Chelsea vs Brentford,Day 29,Etihad Stadium,Slot 2:00-4:00
Chelsea vs Brighton,Day 35,Villa Park,Slot 5:00-7:00
Chelsea vs Everton,Day 18,St. James' Park,Slot 5:00-7:00
Manchester United vs New Castle,Day 39,Goodison Park,Slot 5:00-7:00
Manchester United vs Tottenham,Day 8,Etihad Stadium,Slot 5:00-7:00
Manchester United vs Brentford,Day 4,Goodison Park,Slot 2:00-4:00
Manchester United vs Brighton,Day 19,Goodison Park,Slot 5:00-7:00
Manchester United vs Everton,Day 29,Stamford Bridge,Slot 2:00-4:00
New Castle vs Tottenham,Day 31,Goodison Park,Slot 5:00-7:00
New Castle vs Brentford,Day 11,Elland Road,Slot 8:00-10:00
New Castle vs Brighton,Day 12,St. James' Park,Slot 8:00-10:00
New Castle vs Everton,Day 17,Etihad Stadium,Slot 2:00-4:00
Tottenham vs Brentford,Day 12,Stamford Bridge,Slot 5:00-7:00
Tottenham vs Brighton,Day 2,St. James' Park,Slot 2:00-4:00
Tottenham vs Everton,Day 14,Wembley,Slot 8:00-10:00
Brentford vs Brighton,Day 39,Elland Road,Slot 2:00-4:00
Brentford vs Everton,Day 19,Emirates Stadium,Slot 2:00-4:00
Brighton vs Everton,Day 32,Goodison Park,Slot 5:00-7:00
