Generations,250
Population Size,15
Mutation Rate,0.1
Crossover Rate,0.7
Fitness,Best Fitness: 1843.97
Seed,13

Match,Day,Venue,Time Slot
Brentford vs Everton,Day 1,Wembley,Slot 8:00-10:00
Liverpool vs Chelsea,Day 1,St. James' Park,Slot 5:00-7:00
Manchester City vs Liverpool,Day 20,St. James' Park,Slot 2:00-4:00
Liverpool vs Brighton,Day 33,Wembley,Slot 2:00-4:00
Manchester United vs Brentford,Day 26,St. James' Park,Slot 2:00-4:00
Manchester United vs Brighton,Day 8,Emirates Stadium,Slot 5:00-7:00
New Castle vs Brighton,Day 35,Wembley,Slot 5:00-7:00
Liverpool vs Everton,Day 11,Wembley,Slot 8:00-10:00
Manchester United vs Tottenham,Day 2,Wembley,Slot 8:00-10:00
Manchester United vs New Castle,Day 4,Anfield,Slot 5:00-7:00
Liverpool vs Tottenham,Day 1,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Manchester United,Day 12,Stamford Bridge,Slot 5:00-7:00
Arsenal vs Chelsea,Day 9,Etihad Stadium,Slot 8:00-10:00
Chelsea vs Tottenham,Day 15,Elland Road,Slot 2:00-4:00
Brentford vs Brighton,Day 14,Wembley,Slot 5:00-7:00
Chelsea vs New Castle,Day 37,Elland Road,Slot 5:00-7:00
Tottenham vs Brentford,Day 35,Wembley,Slot 2:00-4:00
Chelsea vs Everton,Day 23,Goodison Park,Slot 5:00-7:00
Manchester City vs Brentford,Day 40,Goodison Park,Slot 5:00-7:00
Arsenal vs New Castle,Day 14,St. James' Park,Slot 2:00-4:00
Manchester City vs Tottenham,Day 5,Etihad Stadium,Slot 8:00-10:00
Chelsea vs Manchester United,Day 38,Elland Road,Slot 8:00-10:00
Chelsea vs Brighton,Day 3,Old Trafford,Slot 8:00-10:00
Arsenal vs Tottenham,Day 37,Elland Road,Slot 2:00-4:00
Brighton vs Everton,Day 20,Old Trafford,Slot 5:00-7:00
New Castle vs Tottenham,Day 12,Goodison Park,Slot 2:00-4:00
Manchester United vs Everton,Day 32,Wembley,Slot 2:00-4:00
Manchester City vs Everton,Day 38,Elland Road,Slot 5:00-7:00
Arsenal vs Brighton,Day 26,Emirates Stadium,Slot 8:00-10:00
Tottenham vs Everton,Day 39,Old Trafford,Slot 8:00-10:00
Arsenal vs Everton,Day 15,Elland Road,Slot 8:00-10:00
Manchester City vs Brighton,Day 16,Anfield,Slot 2:00-4:00
Chelsea vs Brentford,Day 33,Emirates Stadium,Slot 5:00-7:00
Arsenal vs Brentford,Day 21,Wembley,Slot 5:00-7:00
Liverpool vs New Castle,Day 40,Anfield,Slot 8:00-10:00
Tottenham vs Brighton,Day 6,Villa Park,Slot 8:00-10:00
Manchester City vs New Castle,Day 1,Stamford Bridge,Slot 8:00-10:00
New Castle vs Everton,Day 6,Elland Road,Slot 2:00-4:00
Manchester City vs Arsenal,Day 3,Stamford Bridge,Slot 2:00-4:00
Liverpool vs Brentford,Day 3,Elland Road,Slot 2:00-4:00
Manchester City vs Chelsea,Day 35,Villa Park,Slot 5:00-7:00
New Castle vs Brentford,Day 8,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Manchester United,Day 5,Etihad Stadium,Slot 2:00-4:00
Liverpool vs Manchester United,Day 39,Villa Park,Slot 8:00-10:00
Arsenal vs Liverpool,Day 30,Old Trafford,Slot 2:00-4:00
