Generations,50
Population Size,10
Mutation Rate,0.1
Crossover Rate,0.7
Fitness,Best Fitness: 680.00
Seed,0

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 34,Old Trafford,Slot 2:00-4:00
Manchester City vs Liverpool,Day 38,Goodison Park,Slot 5:00-7:00
Manchester City vs Chelsea,Day 27,Old Trafford,Slot 8:00-10:00
Manchester City vs Manchester United,Day 3,Stamford Bridge,Slot 8:00-10:00
Manchester City vs New Castle,Day 32,Stamford Bridge,Slot 2:00-4:00
Manchester City vs Tottenham,Day 19,Goodison Park,Slot 5:00-7:00
Manchester City vs Brentford,Day 20,Old Trafford,Slot 8:00-10:00
Manchester City vs Brighton,Day 18,Stamford Bridge,Slot 2:00-4:00
Manchester City vs Everton,Day 9,Old Trafford,Slot 8:00-10:00
Arsenal vs Liverpool,Day 30,Emirates Stadium,Slot 5:00-7:00
Arsenal vs Chelsea,Day 10,Etihad Stadium,Slot 5:00-7:00
Arsenal vs Manchester United,Day 4,Old Trafford,Slot 8:00-10:00
Arsenal vs New Castle,Day 14,Elland Road,Slot 2:00-4:00
Arsenal vs Tottenham,Day 35,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Brentford,Day 21,Villa Park,Slot 5:00-7:00
Arsenal vs Brighton,Day 7,Old Trafford,Slot 2:00-4:00
Arsenal vs Everton,Day 26,Etihad Stadium,Slot 2:00-4:00
Liverpool vs Chelsea,Day 15,Stamford Bridge,Slot 5:00-7:00
Liverpool vs Manchester United,Day 8,Villa Park,Slot 8:00-10:00
Liverpool vs New Castle,Day 4,Goodison Park,Slot 2:00-4:00
Liverpool vs Tottenham,Day 11,Stamford Bridge,Slot 5:00-7:00
Liverpool vs Brentford,Day 13,St. James' Park,Slot 2:00-4:00
Liverpool vs Brighton,Day 1,Old Trafford,Slot 2:00-4:00
Liverpool vs Everton,Day 16,Villa Park,Slot 8:00-10:00
Chelsea vs Manchester United,Day 33,Stamford Bridge,Slot 5:00-7:00
Chelsea vs New Castle,Day 35,Old Trafford,Slot 8:00-10:00
Chelsea vs Tottenham,Day 32,Anfield,Slot 2:00-4:00
Chelsea vs Brentford,Day 39,Stamford Bridge,Slot 2:00-4:00
Chelsea vs Brighton,Day 11,St. James' Park,Slot 5:00-7:00
Chelsea vs Everton,Day 12,Goodison Park,Slot 2:00-4:00
Manchester United vs New Castle,Day 40,Villa Park,Slot 5:00-7:00
Manchester United vs Tottenham,Day 22,St. James' Park,Slot 5:00-7:00
Manchester United vs Brentford,Day 29,Villa Park,Slot 8:00-10:00
Manchester United vs Brighton,Day 26,Old Trafford,Slot 8:00-10:00
Manchester United vs Everton,Day 15,Anfield,Slot 5:00-7:00
New Castle vs Tottenham,Day 17,Old Trafford,Slot 8:00-10:00
New Castle vs Brentford,Day 25,St. James' Park,Slot 5:00-7:00
New Castle vs Brighton,Day 22,Elland Road,Slot 8:00-10:00
New Castle vs Everton,Day 24,Villa Park,Slot 5:00-7:00
Tottenham vs Brentford,Day 23,Emirates Stadium,Slot 2:00-4:00
Tottenham vs Brighton,Day 33,Anfield,Slot 5:00-7:00
Tottenham vs Everton,Day 6,Elland Road,Slot 8:00-10:00
Brentford vs Brighton,Day 38,Etihad Stadium,Slot 2:00-4:00
Brentford vs Everton,Day 18,Stamford Bridge,Slot 8:00-10:00
Brighton vs Everton,Day 8,Old Trafford,Slot 8:00-10:00
