Generations,1000
Population Size,20
Mutation Rate,0.2
Crossover Rate,0.7
Fitness,Best Fitness: 2260.71
Seed,4

Match,Day,Venue,Time Slot
New Castle vs Brighton,Day 1,Elland Road,Slot 8:00-10:00
Liverpool vs Everton,Day 36,Old Trafford,Slot 5:00-7:00
Arsenal vs Chelsea,Day 3,Emirates Stadium,Slot 2:00-4:00
Manchester United vs Brentford,Day 1,Wembley,Slot 2:00-4:00
Arsenal vs Manchester United,Day 32,Elland Road,Slot 2:00-4:00
Manchester United vs Brighton,Day 36,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Arsenal,Day 30,St. James' Park,Slot 5:00-7:00
Arsenal vs Tottenham,Day 34,Elland Road,Slot 2:00-4:00
Brentford vs Everton,Day 30,Wembley,Slot 8:00-10:00
Manchester City vs Brighton,Day 38,Wembley,Slot 8:00-10:00
Liverpool vs Manchester United,Day 38,Wembley,Slot 5:00-7:00
Chelsea vs Brighton,Day 40,Goodison Park,Slot 2:00-4:00
Liverpool vs New Castle,Day 27,Elland Road,Slot 8:00-10:00
Chelsea vs Everton,Day 34,Wembley,Slot 2:00-4:00
Manchester City vs Chelsea,Day 32,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Manchester United,Day 34,Emirates Stadium,Slot 2:00-4:00
Tottenham vs Everton,Day 10,Emirates Stadium,Slot 5:00-7:00
Brighton vs Everton,Day 3,Wembley,Slot 8:00-10:00
Manchester City vs Liverpool,Day 40,Stamford Bridge,Slot 2:00-4:00
Tottenham vs Brighton,Day 32,Etihad Stadium,Slot 5:00-7:00
Liverpool vs Brentford,Day 34,Etihad Stadium,Slot 2:00-4:00
Manchester City vs Tottenham,Day 4,Stamford Bridge,Slot 2:00-4:00
Arsenal vs New Castle,Day 36,Villa Park,Slot 8:00-10:00
Liverpool vs Tottenham,Day 1,Anfield,Slot 5:00-7:00
Arsenal vs New Castle,Day 38,Etihad Stadium,Slot 8:00-10:00
New Castle vs Tottenham,Day 40,Anfield,Slot 5:00-7:00
Manchester City vs Brentford,Day 6,Goodison Park,Slot 2:00-4:00
Liverpool vs Brighton,Day 11,Stamford Bridge,Slot 5:00-7:00
Manchester City vs New Castle,Day 10,Anfield,Slot 8:00-10:00
Liverpool vs Chelsea,Day 5,Villa Park,Slot 8:00-10:00
Chelsea vs New Castle,Day 30,Goodison Park,Slot 2:00-4:00
Chelsea vs Brentford,Day 36,Wembley,Slot 8:00-10:00
Manchester United vs New Castle,Day 6,Villa Park,Slot 5:00-7:00
Chelsea vs Tottenham,Day 7,Emirates Stadium,Slot 2:00-4:00
Arsenal vs Everton,Day 12,Anfield,Slot 5:00-7:00
Tottenham vs Brentford,Day 38,St. James' Park,Slot 2:00-4:00
New Castle vs Brentford,Day 4,Goodison Park,Slot 5:00-7:00
Manchester United vs Everton,Day 40,Anfield,Slot 2:00-4:00
Manchester City vs Everton,Day 1,Villa Park,Slot 5:00-7:00
Brentford vs Brighton,Day 8,Villa Park,Slot 2:00-4:00
New Castle vs Everton,Day 8,Villa Park,Slot 5:00-7:00
Chelsea vs Manchester United,Day 9,St. James' Park,Slot 5:00-7:00
Arsenal vs Liverpool,Day 7,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Brighton,Day 28,Goodison Park,Slot 2:00-4:00
Arsenal vs Brentford,Day 40,Emirates Stadium,Slot 2:00-4:00
Manchester United vs Tottenham,Day 3,Elland Road,Slot 8:00-10:00
