Generations,750
Population Size,20
Mutation Rate,0.3
Crossover Rate,0.7
Fitness,Best Fitness: 2203.72
Seed,14

Match,Day,Venue,Time Slot
Arsenal vs Brighton,Day 2,Goodison Park,Slot 5:00-7:00
Liverpool vs Brighton,Day 38,Wembley,Slot 5:00-7:00
Manchester City vs Everton,Day 32,Wembley,Slot 2:00-4:00
Manchester City vs Brighton,Day 1,St. James' Park,Slot 2:00-4:00
New Castle vs Brighton,Day 38,Goodison Park,Slot 5:00-7:00
Liverpool vs Everton,Day 35,Wembley,Slot 8:00-10:00
Arsenal vs Manchester United,Day 37,Wembley,Slot 5:00-7:00
Chelsea vs Brighton,Day 40,Villa Park,Slot 8:00-10:00
Manchester United vs New Castle,Day 40,Emirates Stadium,Slot 2:00-4:00
Tottenham vs Brentford,Day 12,Etihad Stadium,Slot 5:00-7:00
Manchester City vs Brentford,Day 36,Emirates Stadium,Slot 8:00-10:00
Arsenal vs New Castle,Day 32,Old Trafford,Slot 2:00-4:00
Brentford vs Everton,Day 1,Villa Park,Slot 2:00-4:00
Manchester City vs Arsenal,Day 40,Wembley,Slot 8:00-10:00
Manchester United vs Everton,Day 39,Villa Park,Slot 8:00-10:00
Manchester United vs Brentford,Day 6,Old Trafford,Slot 2:00-4:00
Manchester City vs Chelsea,Day 6,Wembley,Slot 8:00-10:00
Tottenham vs Brighton,Day 40,Wembley,Slot 5:00-7:00
Arsenal vs Liverpool,Day 6,Stamford Bridge,Slot 2:00-4:00
Manchester City vs Manchester United,Day 34,Emirates Stadium,Slot 5:00-7:00
Brentford vs Brighton,Day 4,Goodison Park,Slot 5:00-7:00
Liverpool vs New Castle,Day 1,St. James' Park,Slot 8:00-10:00
Manchester City vs Liverpool,Day 12,St. James' Park,Slot 5:00-7:00
Chelsea vs New Castle,Day 13,Stamford Bridge,Slot 5:00-7:00
New Castle vs Everton,Day 6,Goodison Park,Slot 2:00-4:00
Liverpool vs Tottenham,Day 33,Stamford Bridge,Slot 8:00-10:00
Chelsea vs Tottenham,Day 31,Villa Park,Slot 5:00-7:00
Chelsea vs Everton,Day 37,Goodison Park,Slot 5:00-7:00
Chelsea vs Manchester United,Day 11,Goodison Park,Slot 8:00-10:00
Manchester United vs Tottenham,Day 14,Goodison Park,Slot 2:00-4:00
Arsenal vs Chelsea,Day 4,Old Trafford,Slot 5:00-7:00
Chelsea vs Brentford,Day 38,St. James' Park,Slot 2:00-4:00
Manchester City vs Tottenham,Day 8,Stamford Bridge,Slot 5:00-7:00
Arsenal vs Brentford,Day 8,Emirates Stadium,Slot 8:00-10:00
Manchester City vs New Castle,Day 3,Emirates Stadium,Slot 8:00-10:00
Liverpool vs Brentford,Day 40,Goodison Park,Slot 5:00-7:00
New Castle vs Tottenham,Day 10,Stamford Bridge,Slot 2:00-4:00
New Castle vs Brentford,Day 34,Wembley,Slot 5:00-7:00
Arsenal vs Everton,Day 10,Emirates Stadium,Slot 5:00-7:00
Brighton vs Everton,Day 22,Villa Park,Slot 2:00-4:00
Tottenham vs Everton,Day 3,Old Trafford,Slot 5:00-7:00
Liverpool vs Manchester United,Day 3,Old Trafford,Slot 8:00-10:00
Arsenal vs Tottenham,Day 35,Goodison Park,Slot 2:00-4:00
Liverpool vs Chelsea,Day 8,Anfield,Slot 8:00-10:00
Manchester United vs Brighton,Day 1,Anfield,Slot 8:00-10:00
