Generations,500
Population Size,15
Mutation Rate,0.4
Crossover Rate,0.9
Fitness,Best Fitness: 2211.40
Seed,8

Match,Day,Venue,Time Slot
Manchester City vs Chelsea,Day 37,Anfield,Slot 8:00-10:00
Brentford vs Everton,Day 34,Anfield,Slot 2:00-4:00
New Castle vs Everton,Day 9,Etihad Stadium,Slot 8:00-10:00
Arsenal vs Brentford,Day 38,Old Trafford,Slot 8:00-10:00
Manchester City vs Tottenham,Day 39,Wembley,Slot 5:00-7:00
Arsenal vs Manchester United,Day 4,Stamford Bridge,Slot 5:00-7:00
Tottenham vs Everton,Day 4,Villa Park,Slot 2:00-4:00
Manchester City vs Liverpool,Day 10,Etihad Stadium,Slot 2:00-4:00
Chelsea vs Everton,Day 1,St. James' Park,Slot 2:00-4:00
Arsenal vs Chelsea,Day 9,Emirates Stadium,Slot 5:00-7:00
New Castle vs Tottenham,Day 37,St. James' Park,Slot 5:00-7:00
Brighton vs Everton,Day 31,Villa Park,Slot 5:00-7:00
Manchester City vs Manchester United,Day 32,Elland Road,Slot 2:00-4:00
Liverpool vs Brighton,Day 3,Goodison Park,Slot 8:00-10:00
Tottenham vs Brentford,Day 32,Stamford Bridge,Slot 8:00-10:00
Chelsea vs New Castle,Day 39,Villa Park,Slot 8:00-10:00
New Castle vs Brighton,Day 14,Goodison Park,Slot 5:00-7:00
Chelsea vs Brentford,Day 5,Emirates Stadium,Slot 2:00-4:00
Manchester United vs Everton,Day 40,Elland Road,Slot 2:00-4:00
Arsenal vs Tottenham,Day 7,Old Trafford,Slot 5:00-7:00
Manchester United vs Brentford,Day 1,St. James' Park,Slot 5:00-7:00
Manchester City vs New Castle,Day 7,Emirates Stadium,Slot 5:00-7:00
Chelsea vs Tottenham,Day 35,Anfield,Slot 8:00-10:00
Manchester City vs Everton,Day 12,Elland Road,Slot 8:00-10:00
Manchester City vs Arsenal,Day 30,Emirates Stadium,Slot 5:00-7:00
Liverpool vs Chelsea,Day 31,Stamford Bridge,Slot 8:00-10:00
Liverpool vs Everton,Day 6,Wembley,Slot 8:00-10:00
Liverpool vs New Castle,Day 33,Goodison Park,Slot 5:00-7:00
Liverpool vs Brentford,Day 36,Villa Park,Slot 2:00-4:00
Brentford vs Brighton,Day 10,Anfield,Slot 5:00-7:00
Manchester United vs Brighton,Day 35,Emirates Stadium,Slot 5:00-7:00
New Castle vs Brentford,Day 40,Goodison Park,Slot 8:00-10:00
Arsenal vs Everton,Day 36,Goodison Park,Slot 8:00-10:00
Manchester United vs Tottenham,Day 11,St. James' Park,Slot 8:00-10:00
Liverpool vs Manchester United,Day 38,Wembley,Slot 5:00-7:00
Arsenal vs Liverpool,Day 40,St. James' Park,Slot 2:00-4:00
Chelsea vs Brighton,Day 33,Anfield,Slot 2:00-4:00
Chelsea vs Manchester United,Day 7,Elland Road,Slot 2:00-4:00
Manchester City vs Brighton,Day 5,Elland Road,Slot 8:00-10:00
Manchester City vs Brentford,Day 3,Anfield,Slot 8:00-10:00
Tottenham vs Brighton,Day 40,St. James' Park,Slot 5:00-7:00
Arsenal vs New Castle,Day 1,Stamford Bridge,Slot 2:00-4:00
Arsenal vs Brighton,Day 24,Villa Park,Slot 5:00-7:00
Manchester United vs New Castle,Day 3,Emirates Stadium,Slot 8:00-10:00
Liverpool vs Tottenham,Day 1,Villa Park,Slot 2:00-4:00
