Generations,500
Population Size,15
Mutation Rate,0.4
Crossover Rate,0.9
Fitness,Best Fitness: 2205.15
Seed,10

Match,Day,Venue,Time Slot
Chelsea vs Brighton,Day 33,Villa Park,Slot 2:00-4:00
Manchester City vs Chelsea,Day 15,Elland Road,Slot 5:00-7:00
Manchester United vs Brentford,Day 31,Villa Park,Slot 8:00-10:00
Arsenal vs Brighton,Day 37,St. James' Park,Slot 5:00-7:00
New Castle vs Everton,Day 9,Elland Road,Slot 5:00-7:00
New Castle vs Brighton,Day 1,Elland Road,Slot 2:00-4:00
Liverpool vs Manchester United,Day 3,St. James' Park,Slot 8:00-10:00
Manchester City vs Manchester United,Day 37,Elland Road,Slot 5:00-7:00
Brentford vs Everton,Day 1,Villa Park,Slot 8:00-10:00
Brighton vs Everton,Day 40,St. James' Park,Slot 8:00-10:00
Liverpool vs Tottenham,Day 32,Wembley,Slot 2:00-4:00
Brentford vs Brighton,Day 35,Emirates Stadium,Slot 5:00-7:00
Manchester City vs Arsenal,Day 31,Emirates Stadium,Slot 2:00-4:00
Chelsea vs Brentford,Day 40,Old Trafford,Slot 8:00-10:00
Arsenal vs Brentford,Day 9,Anfield,Slot 2:00-4:00
Arsenal vs New Castle,Day 12,Emirates Stadium,Slot 2:00-4:00
Manchester United vs New Castle,Day 40,Stamford Bridge,Slot 2:00-4:00
Arsenal vs Everton,Day 7,Goodison Park,Slot 2:00-4:00
Manchester United vs Brighton,Day 6,Etihad Stadium,Slot 2:00-4:00
Liverpool vs Everton,Day 38,Etihad Stadium,Slot 8:00-10:00
Manchester City vs Brighton,Day 12,Etihad Stadium,Slot 5:00-7:00
New Castle vs Tottenham,Day 37,Goodison Park,Slot 8:00-10:00
Tottenham vs Brighton,Day 27,Goodison Park,Slot 8:00-10:00
Arsenal vs Liverpool,Day 34,Wembley,Slot 8:00-10:00
Chelsea vs New Castle,Day 5,Villa Park,Slot 2:00-4:00
Manchester United vs Tottenham,Day 10,Anfield,Slot 8:00-10:00
Liverpool vs Brentford,Day 5,Wembley,Slot 2:00-4:00
Chelsea vs Manchester United,Day 1,Old Trafford,Slot 5:00-7:00
Tottenham vs Brentford,Day 38,Stamford Bridge,Slot 2:00-4:00
Liverpool vs Brighton,Day 8,St. James' Park,Slot 2:00-4:00
Manchester City vs New Castle,Day 35,Elland Road,Slot 2:00-4:00
Liverpool vs New Castle,Day 16,Wembley,Slot 5:00-7:00
Arsenal vs Tottenham,Day 1,Emirates Stadium,Slot 8:00-10:00
Tottenham vs Everton,Day 3,Goodison Park,Slot 8:00-10:00
Arsenal vs Manchester United,Day 23,Stamford Bridge,Slot 5:00-7:00
Chelsea vs Tottenham,Day 7,Wembley,Slot 2:00-4:00
Manchester City vs Liverpool,Day 1,Old Trafford,Slot 8:00-10:00
Manchester United vs Everton,Day 34,Goodison Park,Slot 5:00-7:00
Liverpool vs Chelsea,Day 29,Stamford Bridge,Slot 8:00-10:00
Arsenal vs Chelsea,Day 3,Elland Road,Slot 5:00-7:00
New Castle vs Brentford,Day 33,Villa Park,Slot 5:00-7:00
Manchester City vs Brentford,Day 3,Anfield,Slot 8:00-10:00
Manchester City vs Everton,Day 5,St. James' Park,Slot 5:00-7:00
Manchester City vs Tottenham,Day 40,Anfield,Slot 2:00-4:00
Chelsea vs Everton,Day 36,Stamford Bridge,Slot 2:00-4:00
