Generations,100
Population Size,10
Mutation Rate,0.1
Crossover Rate,0.9
Fitness,Best Fitness: 600.00
Seed,4

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 9,Goodison Park,Slot 8:00-10:00
Manchester City vs Liverpool,Day 26,St. James' Park,Slot 5:00-7:00
Manchester City vs Chelsea,Day 8,Villa Park,Slot 5:00-7:00
Manchester City vs Manchester United,Day 20,Wembley,Slot 8:00-10:00
Manchester City vs New Castle,Day 17,St. James' Park,Slot 2:00-4:00
Manchester City vs Tottenham,Day 18,Goodison Park,Slot 8:00-10:00
Manchester City vs Brentford,Day 40,Villa Park,Slot 8:00-10:00
Manchester City vs Brighton,Day 39,Goodison Park,Slot 2:00-4:00
Manchester City vs Everton,Day 25,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Liverpool,Day 25,Anfield,Slot 2:00-4:00
Arsenal vs Chelsea,Day 15,Stamford Bridge,Slot 2:00-4:00
Arsenal vs Manchester United,Day 18,St. James' Park,Slot 5:00-7:00
Arsenal vs New Castle,Day 27,Old Trafford,Slot 2:00-4:00
Arsenal vs Tottenham,Day 38,Villa Park,Slot 5:00-7:00
Arsenal vs Brentford,Day 24,Etihad Stadium,Slot 2:00-4:00
Arsenal vs Brighton,Day 23,Emirates Stadium,Slot 5:00-7:00
Arsenal vs Everton,Day 8,Emirates Stadium,Slot 5:00-7:00
Liverpool vs Chelsea,Day 11,Wembley,Slot 8:00-10:00
Liverpool vs Manchester United,Day 27,Stamford Bridge,Slot 8:00-10:00
Liverpool vs New Castle,Day 4,Anfield,Slot 5:00-7:00
Liverpool vs Tottenham,Day 23,Etihad Stadium,Slot 5:00-7:00
Liverpool vs Brentford,Day 6,Elland Road,Slot 8:00-10:00
Liverpool vs Brighton,Day 33,Elland Road,Slot 5:00-7:00
Liverpool vs Everton,Day 5,St. James' Park,Slot 5:00-7:00
Chelsea vs Manchester United,Day 39,Wembley,Slot 5:00-7:00
Chelsea vs New Castle,Day 1,Villa Park,Slot 5:00-7:00
Chelsea vs Tottenham,Day 29,Wembley,Slot 8:00-10:00
Chelsea vs Brentford,Day 34,Elland Road,Slot 2:00-4:00
Chelsea vs Brighton,Day 30,Villa Park,Slot 8:00-10:00
Chelsea vs Everton,Day 16,Etihad Stadium,Slot 5:00-7:00
Manchester United vs New Castle,Day 36,Stamford Bridge,Slot 8:00-10:00
Manchester United vs Tottenham,Day 2,Wembley,Slot 2:00-4:00
Manchester United vs Brentford,Day 31,Anfield,Slot 8:00-10:00
Manchester United vs Brighton,Day 21,Elland Road,Slot 8:00-10:00
Manchester United vs Everton,Day 37,Old Trafford,Slot 8:00-10:00
New Castle vs Tottenham,Day 40,Villa Park,Slot 2:00-4:00
New Castle vs Brentford,Day 26,Villa Park,Slot 5:00-7:00
New Castle vs Brighton,Day 29,Stamford Bridge,Slot 8:00-10:00
New Castle vs Everton,Day 20,Goodison Park,Slot 5:00-7:00
Tottenham vs Brentford,Day 13,St. James' Park,Slot 8:00-10:00
Tottenham vs Brighton,Day 17,Stamford Bridge,Slot 2:00-4:00
Tottenham vs Everton,Day 34,Villa Park,Slot 2:00-4:00
Brentford vs Brighton,Day 28,Emirates Stadium,Slot 2:00-4:00
Brentford vs Everton,Day 22,Etihad Stadium,Slot 8:00-10:00
Brighton vs Everton,Day 26,Etihad Stadium,Slot 2:00-4:00
