Generations,1500
Population Size,25
Mutation Rate,0.4
Crossover Rate,0.9
Fitness,Best Fitness: 2354.34
Seed,7

Match,Day,Venue,Time Slot
Chelsea vs New Castle,Day 36,Stamford Bridge,Slot 5:00-7:00
Manchester City vs Tottenham,Day 11,Wembley,Slot 8:00-10:00
New Castle vs Everton,Day 34,St. James' Park,Slot 8:00-10:00
Manchester United vs New Castle,Day 9,Emirates Stadium,Slot 2:00-4:00
Arsenal vs New Castle,Day 5,Elland Road,Slot 5:00-7:00
Liverpool vs Tottenham,Day 7,Elland Road,Slot 2:00-4:00
Arsenal vs Brentford,Day 38,Goodison Park,Slot 8:00-10:00
Arsenal vs Manchester United,Day 33,Anfield,Slot 2:00-4:00
Manchester United vs Tottenham,Day 3,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Everton,Day 3,Goodison Park,Slot 5:00-7:00
Liverpool vs Manchester United,Day 5,Villa Park,Slot 8:00-10:00
Manchester United vs Everton,Day 1,Elland Road,Slot 2:00-4:00
Brentford vs Everton,Day 40,Wembley,Slot 5:00-7:00
Liverpool vs Chelsea,Day 38,Stamford Bridge,Slot 2:00-4:00
Arsenal vs Tottenham,Day 31,Old Trafford,Slot 5:00-7:00
Arsenal vs Liverpool,Day 11,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Liverpool,Day 33,Elland Road,Slot 8:00-10:00
Chelsea vs Manchester United,Day 7,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Brentford,Day 3,Elland Road,Slot 2:00-4:00
Manchester City vs Manchester United,Day 31,Villa Park,Slot 2:00-4:00
Brighton vs Everton,Day 32,Anfield,Slot 8:00-10:00
Liverpool vs Brighton,Day 30,Emirates Stadium,Slot 2:00-4:00
Manchester City vs Brentford,Day 1,Emirates Stadium,Slot 2:00-4:00
Arsenal vs Chelsea,Day 1,Wembley,Slot 8:00-10:00
Tottenham vs Everton,Day 36,Goodison Park,Slot 5:00-7:00
New Castle vs Brentford,Day 1,St. James' Park,Slot 8:00-10:00
Manchester City vs New Castle,Day 7,Etihad Stadium,Slot 2:00-4:00
New Castle vs Tottenham,Day 38,Villa Park,Slot 2:00-4:00
Tottenham vs Brentford,Day 1,Anfield,Slot 2:00-4:00
New Castle vs Brighton,Day 3,Stamford Bridge,Slot 8:00-10:00
Tottenham vs Brighton,Day 5,Emirates Stadium,Slot 5:00-7:00
Manchester United vs Brentford,Day 40,Villa Park,Slot 8:00-10:00
Arsenal vs Brighton,Day 7,Anfield,Slot 2:00-4:00
Chelsea vs Brighton,Day 40,Elland Road,Slot 5:00-7:00
Brentford vs Brighton,Day 1,Etihad Stadium,Slot 5:00-7:00
Liverpool vs Brentford,Day 36,Elland Road,Slot 5:00-7:00
Tottenham vs Brentford,Day 40,St. James' Park,Slot 2:00-4:00
Liverpool vs New Castle,Day 40,Goodison Park,Slot 8:00-10:00
Manchester City vs Everton,Day 38,Emirates Stadium,Slot 5:00-7:00
Manchester United vs Brighton,Day 38,Elland Road,Slot 2:00-4:00
Liverpool vs Brentford,Day 1,Stamford Bridge,Slot 5:00-7:00
Chelsea vs Everton,Day 5,Anfield,Slot 5:00-7:00
Arsenal vs Manchester United,Day 35,Goodison Park,Slot 2:00-4:00
Chelsea vs Tottenham,Day 34,Old Trafford,Slot 2:00-4:00
Chelsea vs Brentford,Day 3,Elland Road,Slot 8:00-10:00
Manchester City vs Chelsea,Day 9,Elland Road,Slot 2:00-4:00
Liverpool vs Everton,Day 9,Villa Park,Slot 8:00-10:00
Manchester City vs Brighton,Day 35,Old Trafford,Slot 8:00-10:00
Manchester City vs Arsenal,Day 40,St. James' Park,Slot 8:00-10:00
