Generations,50
Population Size,10
Mutation Rate,0.05
Crossover Rate,0.7
Fitness,Best Fitness: 780.00
Seed,18

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 35,Old Trafford,Slot 2:00-4:00
Manchester City vs Liverpool,Day 37,Stamford Bridge,Slot 8:00-10:00
Manchester City vs Chelsea,Day 20,Old Trafford,Slot 5:00-7:00
Manchester City vs Manchester United,Day 19,Villa Park,Slot 2:00-4:00
Manchester City vs New Castle,Day 23,Etihad Stadium,Slot 2:00-4:00
Manchester City vs Tottenham,Day 18,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Brentford,Day 28,Villa Park,Slot 5:00-7:00
Manchester City vs Brighton,Day 16,Emirates Stadium,Slot 8:00-10:00
Manchester City vs Everton,Day 27,Etihad Stadium,Slot 8:00-10:00
Arsenal vs Liverpool,Day 33,Emirates Stadium,Slot 2:00-4:00
Arsenal vs Chelsea,Day 5,St. James' Park,Slot 8:00-10:00
Arsenal vs Manchester United,Day 12,Stamford Bridge,Slot 2:00-4:00
Arsenal vs New Castle,Day 28,Etihad Stadium,Slot 2:00-4:00
Arsenal vs Tottenham,Day 36,Stamford Bridge,Slot 2:00-4:00
Arsenal vs Brentford,Day 9,Etihad Stadium,Slot 8:00-10:00
Arsenal vs Brighton,Day 13,Anfield,Slot 5:00-7:00
Arsenal vs Everton,Day 24,St. James' Park,Slot 2:00-4:00
Liverpool vs Chelsea,Day 24,Anfield,Slot 2:00-4:00
Liverpool vs Manchester United,Day 40,Etihad Stadium,Slot 8:00-10:00
Liverpool vs New Castle,Day 16,Anfield,Slot 5:00-7:00
Liverpool vs Tottenham,Day 9,Anfield,Slot 5:00-7:00
Liverpool vs Brentford,Day 1,Villa Park,Slot 8:00-10:00
Liverpool vs Brighton,Day 19,Villa Park,Slot 8:00-10:00
Liverpool vs Everton,Day 28,Emirates Stadium,Slot 5:00-7:00
Chelsea vs Manchester United,Day 32,Old Trafford,Slot 8:00-10:00
Chelsea vs New Castle,Day 12,Emirates Stadium,Slot 2:00-4:00
Chelsea vs Tottenham,Day 1,Etihad Stadium,Slot 2:00-4:00
Chelsea vs Brentford,Day 36,Old Trafford,Slot 2:00-4:00
Chelsea vs Brighton,Day 25,Old Trafford,Slot 8:00-10:00
Chelsea vs Everton,Day 30,Elland Road,Slot 2:00-4:00
Manchester United vs New Castle,Day 3,Stamford Bridge,Slot 8:00-10:00
Manchester United vs Tottenham,Day 6,Elland Road,Slot 2:00-4:00
Manchester United vs Brentford,Day 34,Wembley,Slot 2:00-4:00
Manchester United vs Brighton,Day 29,Wembley,Slot 5:00-7:00
Manchester United vs Everton,Day 8,Old Trafford,Slot 2:00-4:00
New Castle vs Tottenham,Day 22,St. James' Park,Slot 8:00-10:00
New Castle vs Brentford,Day 39,Stamford Bridge,Slot 8:00-10:00
New Castle vs Brighton,Day 31,St. James' Park,Slot 2:00-4:00
New Castle vs Everton,Day 37,St. James' Park,Slot 2:00-4:00
Tottenham vs Brentford,Day 20,Old Trafford,Slot 2:00-4:00
Tottenham vs Brighton,Day 15,Etihad Stadium,Slot 2:00-4:00
Tottenham vs Everton,Day 14,Etihad Stadium,Slot 5:00-7:00
Brentford vs Brighton,Day 23,Old Trafford,Slot 5:00-7:00
Brentford vs Everton,Day 3,Anfield,Slot 8:00-10:00
Brighton vs Everton,Day 32,Anfield,Slot 5:00-7:00
