Generations,500
Population Size,15
Mutation Rate,0.4
Crossover Rate,0.9
Fitness,Best Fitness: 2176.06
Seed,9

Match,Day,Venue,Time Slot
Arsenal vs Manchester United,Day 32,Villa Park,Slot 5:00-7:00
Manchester City vs Tottenham,Day 40,Elland Road,Slot 8:00-10:00
Arsenal vs Liverpool,Day 30,Anfield,Slot 2:00-4:00
Liverpool vs Manchester United,Day 5,Wembley,Slot 2:00-4:00
Liverpool vs New Castle,Day 7,Anfield,Slot 2:00-4:00
Liverpool vs Tottenham,Day 1,Emirates Stadium,Slot 2:00-4:00
Chelsea vs New Castle,Day 2,Wembley,Slot 8:00-10:00
Manchester United vs Everton,Day 34,St. James' Park,Slot 5:00-7:00
Tottenham vs Brentford,Day 37,Emirates Stadium,Slot 5:00-7:00
Arsenal vs Tottenham,Day 5,Etihad Stadium,Slot 5:00-7:00
Tottenham vs Brighton,Day 3,Stamford Bridge,Slot 5:00-7:00
Manchester United vs Tottenham,Day 7,Elland Road,Slot 5:00-7:00
Manchester City vs Brentford,Day 40,Etihad Stadium,Slot 8:00-10:00
Manchester United vs New Castle,Day 40,Goodison Park,Slot 5:00-7:00
Chelsea vs Tottenham,Day 30,Goodison Park,Slot 2:00-4:00
Manchester City vs Everton,Day 1,Villa Park,Slot 2:00-4:00
Liverpool vs Chelsea,Day 37,St. James' Park,Slot 5:00-7:00
Arsenal vs Everton,Day 36,Etihad Stadium,Slot 8:00-10:00
Arsenal vs New Castle,Day 34,Stamford Bridge,Slot 2:00-4:00
Liverpool vs Brighton,Day 35,Goodison Park,Slot 5:00-7:00
Manchester City vs Chelsea,Day 1,Emirates Stadium,Slot 8:00-10:00
Chelsea vs Brighton,Day 6,Etihad Stadium,Slot 8:00-10:00
Liverpool vs Brentford,Day 27,Wembley,Slot 2:00-4:00
New Castle vs Everton,Day 4,Elland Road,Slot 2:00-4:00
Chelsea vs Everton,Day 39,Elland Road,Slot 5:00-7:00
Manchester City vs New Castle,Day 37,Etihad Stadium,Slot 2:00-4:00
New Castle vs Brighton,Day 32,Elland Road,Slot 8:00-10:00
Brentford vs Everton,Day 3,Etihad Stadium,Slot 2:00-4:00
Manchester City vs Brighton,Day 38,Wembley,Slot 8:00-10:00
Chelsea vs Brentford,Day 35,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Chelsea,Day 8,Wembley,Slot 5:00-7:00
Tottenham vs Everton,Day 26,Goodison Park,Slot 2:00-4:00
Brentford vs Brighton,Day 8,Old Trafford,Slot 2:00-4:00
Arsenal vs Brentford,Day 11,Villa Park,Slot 2:00-4:00
Manchester United vs Brighton,Day 37,Elland Road,Slot 5:00-7:00
Arsenal vs Brighton,Day 1,Stamford Bridge,Slot 8:00-10:00
Liverpool vs Everton,Day 9,Old Trafford,Slot 2:00-4:00
New Castle vs Tottenham,Day 10,St. James' Park,Slot 8:00-10:00
Chelsea vs Manchester United,Day 12,Etihad Stadium,Slot 8:00-10:00
Brighton vs Everton,Day 40,St. James' Park,Slot 5:00-7:00
New Castle vs Brentford,Day 29,Emirates Stadium,Slot 5:00-7:00
Manchester City vs Liverpool,Day 40,St. James' Park,Slot 2:00-4:00
Manchester City vs Manchester United,Day 3,St. James' Park,Slot 2:00-4:00
Manchester City vs Arsenal,Day 38,Stamford Bridge,Slot 8:00-10:00
Manchester United vs Brentford,Day 1,St. James' Park,Slot 8:00-10:00
