Generations,50
Population Size,5
Mutation Rate,0.1
Crossover Rate,0.5
Fitness,Best Fitness: 640.00
Seed,17

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 35,Goodison Park,Slot 8:00-10:00
Manchester City vs Liverpool,Day 40,Anfield,Slot 5:00-7:00
Manchester City vs Chelsea,Day 24,Anfield,Slot 5:00-7:00
Manchester City vs Manchester United,Day 23,Goodison Park,Slot 2:00-4:00
Manchester City vs New Castle,Day 9,St. James' Park,Slot 2:00-4:00
Manchester City vs Tottenham,Day 5,Anfield,Slot 2:00-4:00
Manchester City vs Brentford,Day 15,Goodison Park,Slot 8:00-10:00
Manchester City vs Brighton,Day 10,Old Trafford,Slot 8:00-10:00
Manchester City vs Everton,Day 28,Wembley,Slot 2:00-4:00
Arsenal vs Liverpool,Day 39,Villa Park,Slot 2:00-4:00
Arsenal vs Chelsea,Day 4,Etihad Stadium,Slot 8:00-10:00
Arsenal vs Manchester United,Day 11,Wembley,Slot 5:00-7:00
Arsenal vs New Castle,Day 10,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Tottenham,Day 38,Villa Park,Slot 2:00-4:00
Arsenal vs Brentford,Day 31,Wembley,Slot 2:00-4:00
Arsenal vs Brighton,Day 17,Emirates Stadium,Slot 2:00-4:00
Arsenal vs Everton,Day 3,Goodison Park,Slot 8:00-10:00
Liverpool vs Chelsea,Day 23,Wembley,Slot 2:00-4:00
Liverpool vs Manchester United,Day 12,Villa Park,Slot 2:00-4:00
Liverpool vs New Castle,Day 14,Goodison Park,Slot 5:00-7:00
Liverpool vs Tottenham,Day 29,Villa Park,Slot 2:00-4:00
Liverpool vs Brentford,Day 36,Villa Park,Slot 2:00-4:00
Liverpool vs Brighton,Day 35,Etihad Stadium,Slot 5:00-7:00
Liverpool vs Everton,Day 21,Anfield,Slot 2:00-4:00
Chelsea vs Manchester United,Day 18,Elland Road,Slot 8:00-10:00
Chelsea vs New Castle,Day 26,Emirates Stadium,Slot 2:00-4:00
Chelsea vs Tottenham,Day 22,Etihad Stadium,Slot 8:00-10:00
Chelsea vs Brentford,Day 30,Wembley,Slot 8:00-10:00
Chelsea vs Brighton,Day 11,Anfield,Slot 2:00-4:00
Chelsea vs Everton,Day 16,Elland Road,Slot 5:00-7:00
Manchester United vs New Castle,Day 7,Elland Road,Slot 5:00-7:00
Manchester United vs Tottenham,Day 26,Goodison Park,Slot 5:00-7:00
Manchester United vs Brentford,Day 28,Emirates Stadium,Slot 5:00-7:00
Manchester United vs Brighton,Day 1,Stamford Bridge,Slot 5:00-7:00
Manchester United vs Everton,Day 9,Old Trafford,Slot 8:00-10:00
New Castle vs Tottenham,Day 33,Old Trafford,Slot 8:00-10:00
New Castle vs Brentford,Day 4,Villa Park,Slot 8:00-10:00
New Castle vs Brighton,Day 32,Stamford Bridge,Slot 8:00-10:00
New Castle vs Everton,Day 13,Emirates Stadium,Slot 8:00-10:00
Tottenham vs Brentford,Day 13,Villa Park,Slot 8:00-10:00
Tottenham vs Brighton,Day 3,Elland Road,Slot 2:00-4:00
Tottenham vs Everton,Day 37,Etihad Stadium,Slot 5:00-7:00
Brentford vs Brighton,Day 29,Anfield,Slot 5:00-7:00
Brentford vs Everton,Day 11,Emirates Stadium,Slot 5:00-7:00
Brighton vs Everton,Day 24,Etihad Stadium,Slot 8:00-10:00
