Generations,50
Population Size,5
Mutation Rate,0.05
Crossover Rate,0.5
Fitness,Best Fitness: 700.00
Seed,28

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 25,Villa Park,Slot 8:00-10:00
Manchester City vs Liverpool,Day 36,Etihad Stadium,Slot 5:00-7:00
Manchester City vs Chelsea,Day 27,Elland Road,Slot 8:00-10:00
Manchester City vs Manchester United,Day 7,Goodison Park,Slot 5:00-7:00
Manchester City vs New Castle,Day 30,Emirates Stadium,Slot 2:00-4:00
Manchester City vs Tottenham,Day 13,Stamford Bridge,Slot 2:00-4:00
Manchester City vs Brentford,Day 22,Etihad Stadium,Slot 5:00-7:00
Manchester City vs Brighton,Day 19,Old Trafford,Slot 5:00-7:00
Manchester City vs Everton,Day 11,Elland Road,Slot 2:00-4:00
Arsenal vs Liverpool,Day 12,St. James' Park,Slot 5:00-7:00
Arsenal vs Chelsea,Day 24,Emirates Stadium,Slot 5:00-7:00
Arsenal vs Manchester United,Day 34,Etihad Stadium,Slot 5:00-7:00
Arsenal vs New Castle,Day 10,Old Trafford,Slot 8:00-10:00
Arsenal vs Tottenham,Day 6,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Brentford,Day 15,Wembley,Slot 8:00-10:00
Arsenal vs Brighton,Day 29,Etihad Stadium,Slot 2:00-4:00
Arsenal vs Everton,Day 37,Old Trafford,Slot 5:00-7:00
Liverpool vs Chelsea,Day 6,Old Trafford,Slot 8:00-10:00
Liverpool vs Manchester United,Day 16,Emirates Stadium,Slot 8:00-10:00
Liverpool vs New Castle,Day 3,Old Trafford,Slot 2:00-4:00
Liverpool vs Tottenham,Day 30,Etihad Stadium,Slot 5:00-7:00
Liverpool vs Brentford,Day 11,Stamford Bridge,Slot 5:00-7:00
Liverpool vs Brighton,Day 21,Goodison Park,Slot 2:00-4:00
Liverpool vs Everton,Day 8,Old Trafford,Slot 8:00-10:00
Chelsea vs Manchester United,Day 35,Emirates Stadium,Slot 2:00-4:00
Chelsea vs New Castle,Day 18,Stamford Bridge,Slot 5:00-7:00
Chelsea vs Tottenham,Day 11,Elland Road,Slot 8:00-10:00
Chelsea vs Brentford,Day 1,Emirates Stadium,Slot 5:00-7:00
Chelsea vs Brighton,Day 4,Anfield,Slot 2:00-4:00
Chelsea vs Everton,Day 36,Goodison Park,Slot 5:00-7:00
Manchester United vs New Castle,Day 26,Villa Park,Slot 2:00-4:00
Manchester United vs Tottenham,Day 27,Elland Road,Slot 2:00-4:00
Manchester United vs Brentford,Day 12,Emirates Stadium,Slot 8:00-10:00
Manchester United vs Brighton,Day 24,Elland Road,Slot 5:00-7:00
Manchester United vs Everton,Day 4,Goodison Park,Slot 5:00-7:00
New Castle vs Tottenham,Day 14,Wembley,Slot 5:00-7:00
New Castle vs Brentford,Day 16,Old Trafford,Slot 2:00-4:00
New Castle vs Brighton,Day 20,Emirates Stadium,Slot 5:00-7:00
New Castle vs Everton,Day 34,Goodison Park,Slot 2:00-4:00
Tottenham vs Brentford,Day 19,St. James' Park,Slot 2:00-4:00
Tottenham vs Brighton,Day 39,Old Trafford,Slot 2:00-4:00
Tottenham vs Everton,Day 20,Stamford Bridge,Slot 5:00-7:00
Brentford vs Brighton,Day 27,Emirates Stadium,Slot 8:00-10:00
Brentford vs Everton,Day 18,Etihad Stadium,Slot 8:00-10:00
Brighton vs Everton,Day 5,Emirates Stadium,Slot 8:00-10:00
