Generations,1500
Population Size,25
Mutation Rate,0.4
Crossover Rate,0.9
Fitness,Best Fitness: 2361.47
Seed,6

Match,Day,Venue,Time Slot
Arsenal vs Manchester United,Day 35,St. James' Park,Slot 8:00-10:00
Brentford vs Everton,Day 9,Emirates Stadium,Slot 8:00-10:00
Liverpool vs Tottenham,Day 5,Goodison Park,Slot 5:00-7:00
Liverpool vs Brentford,Day 37,Etihad Stadium,Slot 2:00-4:00
Manchester United vs Tottenham,Day 39,Emirates Stadium,Slot 8:00-10:00
New Castle vs Tottenham,Day 33,Goodison Park,Slot 8:00-10:00
Brighton vs Everton,Day 33,Elland Road,Slot 8:00-10:00
Chelsea vs Everton,Day 35,St. James' Park,Slot 5:00-7:00
Chelsea vs Brentford,Day 33,Old Trafford,Slot 5:00-7:00
Manchester United vs New Castle,Day 31,St. James' Park,Slot 5:00-7:00
Manchester City vs Manchester United,Day 3,Goodison Park,Slot 2:00-4:00
New Castle vs Brentford,Day 5,Old Trafford,Slot 8:00-10:00
Chelsea vs New Castle,Day 1,Emirates Stadium,Slot 8:00-10:00
Liverpool vs Everton,Day 1,Goodison Park,Slot 5:00-7:00
Manchester City vs New Castle,Day 38,Emirates Stadium,Slot 5:00-7:00
Arsenal vs New Castle,Day 40,St. James' Park,Slot 2:00-4:00
Chelsea vs Tottenham,Day 9,Anfield,Slot 2:00-4:00
New Castle vs Everton,Day 3,Goodison Park,Slot 8:00-10:00
Tottenham vs Brighton,Day 35,Etihad Stadium,Slot 2:00-4:00
Manchester City vs Chelsea,Day 5,Anfield,Slot 5:00-7:00
Liverpool vs New Castle,Day 11,Goodison Park,Slot 2:00-4:00
Tottenham vs Brentford,Day 3,St. James' Park,Slot 8:00-10:00
Arsenal vs Liverpool,Day 9,Anfield,Slot 8:00-10:00
Manchester City vs Brighton,Day 9,Wembley,Slot 5:00-7:00
Manchester City vs Liverpool,Day 35,Goodison Park,Slot 8:00-10:00
Arsenal vs Chelsea,Day 3,Anfield,Slot 2:00-4:00
Liverpool vs Chelsea,Day 40,Emirates Stadium,Slot 5:00-7:00
Tottenham vs Everton,Day 40,Wembley,Slot 5:00-7:00
Arsenal vs Tottenham,Day 37,St. James' Park,Slot 5:00-7:00
New Castle vs Brighton,Day 7,Stamford Bridge,Slot 8:00-10:00
Liverpool vs Manchester United,Day 33,Villa Park,Slot 5:00-7:00
Manchester City vs Arsenal,Day 33,Etihad Stadium,Slot 8:00-10:00
Manchester City vs Tottenham,Day 1,Stamford Bridge,Slot 5:00-7:00
Arsenal vs Brighton,Day 1,Villa Park,Slot 8:00-10:00
Brentford vs Brighton,Day 39,Anfield,Slot 5:00-7:00
Manchester United vs Brentford,Day 1,Stamford Bridge,Slot 2:00-4:00
Liverpool vs Brighton,Day 3,Goodison Park,Slot 5:00-7:00
Manchester City vs Everton,Day 7,Anfield,Slot 2:00-4:00
Chelsea vs Manchester United,Day 7,Villa Park,Slot 5:00-7:00
Manchester United vs Brighton,Day 5,Emirates Stadium,Slot 8:00-10:00
Manchester United vs Everton,Day 37,Wembley,Slot 8:00-10:00
Arsenal vs Brentford,Day 7,Wembley,Slot 8:00-10:00
Manchester City vs Brentford,Day 40,Etihad Stadium,Slot 8:00-10:00
Arsenal vs Everton,Day 30,Wembley,Slot 5:00-7:00
Chelsea vs Brighton,Day 37,St. James' Park,Slot 2:00-4:00
